source,target,value
Sub-Saharan Africa,Central Asia,18
Northern Africa and Western Asia,Central Asia,76944
Central and Southern Asia,Central Asia,246077
Eastern and South-Eastern Asia,Central Asia,49821
Latin America and the Caribbean,Central Asia,9
Oceania (excluding Australia and New Zealand),Central Asia,0
Australia and New Zealand,Central Asia,55
Europe and Northern America,Central Asia,2327765
Sub-Saharan Africa,Eastern Asia,4694
Northern Africa and Western Asia,Eastern Asia,1210
Central and Southern Asia,Eastern Asia,131765
Eastern and South-Eastern Asia,Eastern Asia,3990419
Latin America and the Caribbean,Eastern Asia,158852
Oceania (excluding Australia and New Zealand),Eastern Asia,0
Australia and New Zealand,Eastern Asia,17138
Europe and Northern America,Eastern Asia,144856
Sub-Saharan Africa,South-Eastern Asia,2591
Northern Africa and Western Asia,South-Eastern Asia,11286
Central and Southern Asia,South-Eastern Asia,728059
Eastern and South-Eastern Asia,South-Eastern Asia,3850093
Latin America and the Caribbean,South-Eastern Asia,795
Oceania (excluding Australia and New Zealand),South-Eastern Asia,642
Australia and New Zealand,South-Eastern Asia,19556
Europe and Northern America,South-Eastern Asia,76946
Sub-Saharan Africa,Southern Asia,36579
Northern Africa and Western Asia,Southern Asia,84301
Central and Southern Asia,Southern Asia,5384021
Eastern and South-Eastern Asia,Southern Asia,775987
Latin America and the Caribbean,Southern Asia,10130
Oceania (excluding Australia and New Zealand),Southern Asia,481
Australia and New Zealand,Southern Asia,2288
Europe and Northern America,Southern Asia,96124
Sub-Saharan Africa,Western Asia,268939
Northern Africa and Western Asia,Western Asia,7567785
Central and Southern Asia,Western Asia,4533220
Eastern and South-Eastern Asia,Western Asia,1631426
Latin America and the Caribbean,Western Asia,36063
Oceania (excluding Australia and New Zealand),Western Asia,1
Australia and New Zealand,Western Asia,6190
Europe and Northern America,Western Asia,1559175
