index,id,area,both1990,both1995,both2000,both2005,both2010,both2015,both2020,male1990,male1995,male2000,male2005,male2010,male2015,male2020,female1990,female1995,female2000,female2005,female2010,female2015,female2020
1,,WORLD,152986157,161289976,173230585,191446828,220983187,247958644,280598105,77563467,81581501,87719833,97663081,113940881,128238058,145655844,75422690,79708475,85510752,93783747,107042306,119720586,134942261
2,,Sub-Saharan Africa,13286341,14275437,13151229,14290369,15854637,20721874,22221538,7048417,7514093,6939992,7657166,8388044,10866306,11651019,6237924,6761344,6211237,6633203,7466593,9855568,10570519
3,,Northern Africa and Western Asia,17608769,18912064,20321397,23165804,32638434,42036092,49767746,10137138,11047709,12060066,14298543,21159635,27119963,31936084,7471631,7864355,8261331,8867261,11478799,14916129,17831662
4,,Central and Southern Asia,26168623,21247814,20139825,18854544,19676783,19266265,19427576,13255517,10643146,10125866,9395177,9817100,9603861,9727936,12913106,10604668,10013959,9459367,9859683,9662404,9699640
5,,Eastern and South-Eastern Asia,6835882,8339806,10506212,12979157,15760463,18027810,19591106,3507907,4190876,5165913,6436048,7866153,9100814,9920938,3327975,4148930,5340299,6543109,7894310,8926996,9670168
6,,Latin America and the Caribbean,7135971,6661553,6539738,7184113,8326588,9441503,14794623,3582217,3335229,3266229,3572498,4139431,4738649,7473421,3553754,3326324,3273509,3611615,4187157,4702854,7321202
7,,Oceania (excluding Australia and New Zealand),258678,280580,296618,306039,298175,302810,313069,144238,153072,156788,161215,158458,160348,165505,114440,127508,139830,144824,139717,142462,147564
8,,Australia and New Zealand,4473260,4741947,5065063,5717982,6830423,7769466,9067584,2271419,2382510,2519827,2826880,3381077,3846117,4480351,2201841,2359437,2545236,2891102,3449346,3923349,4587233
9,,Europe and Northern America,77218633,86830775,97210503,108948820,121597684,130392824,145414863,37616614,42314866,47485152,53315554,59030983,62802000,70300590,39602019,44515909,49725351,55633266,62566701,67590824,75114273
86,,ASIA,48209949,46418044,49066986,53249787,66123640,77191249,85618502,25669852,24775923,26295146,29083644,37687306,44550946,49796904,22540097,21642121,22771840,24166143,28436334,32640303,35821598
87,,Central Asia,6630683,5904795,5189082,5235877,5264938,5392792,5564042,2972344,2655599,2327133,2413191,2490544,2596335,2685448,3658339,3249196,2861949,2822686,2774394,2796457,2878594
88,KAZ,Kazakhstan,3619200,3251968,2874194,3103027,3334937,3546060,3732073,1666164,1497455,1323580,1472820,1625155,1757828,1850097,1953036,1754513,1550614,1630207,1709782,1788232,1881976
89,KGZ,Kyrgyzstan,623083,518338,389824,309399,232065,204382,199011,260416,216638,162927,128064,94596,82616,80456,362667,301700,226897,181335,137469,121766,118555
90,TJK,Tajikistan,428900,348347,299499,280466,279808,275101,276031,187972,151894,131653,121403,121780,118639,119174,240928,196453,167846,159063,158028,156462,156857
91,TKM,Turkmenistan,306500,273565,219067,213053,197979,196376,194920,134174,132122,102810,101214,90634,91531,92357,172326,141443,116257,111839,107345,104845,102563
92,UZB,Uzbekistan,1653000,1512577,1406498,1329932,1220149,1170873,1162007,723618,657490,606163,589690,558379,545721,543364,929382,855087,800335,740242,661770,625152,618643
93,,Eastern Asia,3959266,4639749,5393004,6228684,7062527,7866663,8975729,1996803,2274256,2551537,2938257,3321334,3744128,4277681,1962463,2365493,2841467,3290427,3741193,4122535,4698048
94,CHN,China,376361,442198,508034,678947,849861,978046,1039675,191954,223018,254082,379920,505758,600136,637952,184407,219180,253952,299027,344103,377910,401723
95,HKG,"China, Hong Kong SAR*",2218473,2443798,2669122,2721235,2779950,2841113,2962492,1124544,1175087,1225629,1185121,1147539,1120982,1107970,1093929,1268711,1443493,1536114,1632411,1720131,1854522
96,MAC,"China, Macao SAR*",205047,224929,240791,279308,318506,376066,403490,96379,103660,109391,130387,146407,174589,187321,108668,121269,131400,148921,172099,201477,216169
97,TWN,"China, Taiwan Province of China*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
