target,source,value
Central America,Central Asia,200
Central America,Eastern Asia,10
Central America,Southern Asia,500
Central Asia,Central Asia,520
Eastern Africa,Western Asia,20
Eastern Asia,Eastern Asia,70
Eastern Asia,South-eastern Asia,90
Eastern Asia,Southern Asia,40
Europe,Central Asia,150
Europe,Southern Asia,230
Europe,Western Asia,249
Mediterranean,Southern Asia,199
Mediterranean,Western Asia,649
North America,Eastern Asia,40
North America,South-eastern Asia,100
North America,Southern Asia,89
Northern Africa,Southern Asia,88
Northern Africa,Western Asia,178
South America,Southern Asia,99
South-eastern Asia,Eastern Asia,96
South-eastern Asia,South-eastern Asia,500
South-eastern Asia,Southern Asia,730
Southern Asia,South-eastern Asia,106
Southern Asia,Southern Asia,255
Western Asia,Southern Asia,112
Western Asia,Western Asia,351
