source,target,value
Central Asia,Central America,
Eastern Asia,Central America,
Southern Asia,Central America,
Central Asia,Central Asia,
Western Asia,Eastern Africa,
Eastern Asia,Eastern Asia,
South-eastern Asia,Eastern Asia,
Southern Asia,Eastern Asia,1
Central Asia,Europe,
Southern Asia,Europe,17
Western Asia,Europe,31
Southern Asia,Mediterranean,24
Western Asia,Mediterranean,132
Eastern Asia,North America,2
South-eastern Asia,North America,
Southern Asia,North America,3
Southern Asia,Northern Africa,
Western Asia,Northern Africa,3
Southern Asia,South America,1
Eastern Asia,South-eastern Asia,1
South-eastern Asia,South-eastern Asia,65
Southern Asia,South-eastern Asia,245
South-eastern Asia,Southern Asia,21
Southern Asia,Southern Asia,126
Southern Asia,Western Asia,7
Western Asia,Western Asia,103
