source,target,value
Central Asia,Central America,2
Eastern Asia,Central America,1
Southern Asia,Central America,5
Central Asia,Central Asia,52
Western Asia,Eastern Africa,2
Eastern Asia,Eastern Asia,32
South-eastern Asia,Eastern Asia,9
Southern Asia,Eastern Asia,4
Central Asia,Europe,15
Southern Asia,Europe,249
Western Asia,Europe,264
Southern Asia,Mediterranean,435
Western Asia,Mediterranean,1714
Eastern Asia,North America,4
South-eastern Asia,North America,1
Southern Asia,North America,8
Southern Asia,Northern Africa,8
Western Asia,Northern Africa,17
Southern Asia,South America,24
Eastern Asia,South-eastern Asia,36
South-eastern Asia,South-eastern Asia,2018
Southern Asia,South-eastern Asia,1002
South-eastern Asia,Southern Asia,323
Southern Asia,Southern Asia,2060
Southern Asia,Western Asia,135
Western Asia,Western Asia,362
