source,target,value
Central Asia,Central America,1
Eastern Asia,Central America,0
Southern Asia,Central America,0
Central Asia,Central Asia,52
Western Asia,Eastern Africa,0
Eastern Asia,Eastern Asia,26
South-eastern Asia,Eastern Asia,9
Southern Asia,Eastern Asia,0
Central Asia,Europe,15
Southern Asia,Europe,56
Western Asia,Europe,50
Southern Asia,Mediterranean,342
Western Asia,Mediterranean,1396
Eastern Asia,North America,0
South-eastern Asia,North America,0
Southern Asia,North America,0
Southern Asia,Northern Africa,0
Western Asia,Northern Africa,0
Southern Asia,South America,19
Eastern Asia,South-eastern Asia,35
South-eastern Asia,South-eastern Asia,1866
Southern Asia,South-eastern Asia,581
South-eastern Asia,Southern Asia,295
Southern Asia,Southern Asia,510
Southern Asia,Western Asia,68
Western Asia,Western Asia,109
